As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Weddell,6
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,West Arnhem,2
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Yuendumu - Anmatjere,3
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Unknown ,12
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Palmerston,,94
4/07/2024,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Tennant Creek,,21
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Palmerston,,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,2
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,East Arnhem,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,7
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,3
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Anindilyakwa,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Gulf,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Petermann - Simpson,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,2
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tanami,1
4/07/2024,2024,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,West Arnhem,1
